Row,z_1,z_2
0,-1.8034777199422145,1.5247585844690452
1,-1.2160886101348667,1.2043383840267174
2,-1.5557457123476124,1.9607103351116888
3,,
4,0.6983026739311952,-1.5978181671837148
5,0.3383898514237722,-1.1845297787878573
6,0.39860304860140594,-0.7420105641615128
7,1.1837223670220045,-1.0539593041943844
8,1.6800306253982586,-1.6611145245676453
9,1.1039985828610352,-1.5830233611488296
10,,
11,0.08143632187780828,-0.24876620955720216
12,0.3107930003017818,0.6705120165937827
13,0.7781418398384555,0.12856849105077953
14,1.2128900086800163,0.27548038115775125
15,1.3040444256163695,-0.18351206164395523
16,0.39860304860140594,-0.7420105641615128
