Row,ada_boost,bagging,bayesian_ard,decision_tree,extra_tree,gradient_boosting,mlp,passive_aggressive,random_forest,svr_epsilon,svr_linear,svr_nu
1,0.039472109536573895,0.02014458523245741,0.02392617475463495,0.038582848362818306,0.010795830159002394,0.03859593981272644,0.0026406105007096363,0.048607406458341974,0.020360039083332723,0.02803483964232734,0.0010042996734991028,0.011923261170781031
2,0.005362146035906316,0.007464724212336969,0.0011625735116637254,0.01971164761512759,0.005928714601020185,0.002000731589654207,0.0005193573383170506,0.013192897722557191,0.006262077208969812,0.02930123513044368,0.0005371116908701782,0.0012893707913904382
3,0.0005566824417237163,0.0018806908582557902,0.0025459960786997885,0.005910148412484305,0.005629218266419645,0.01033801024388336,0.002864041100745793,0.13842210173460656,0.002443318573556779,0.02755319921353096,0.0010983164404954082,0.02187721252122492
4,0.0072604938842358024,0.009891210065402058,0.008448570015855323,0.002468770404935033,0.00730919470645623,0.009737685922392046,0.0011556394333243625,0.06572274184745884,0.011006035435232295,0.02779863072494213,0.018083699154110223,0.0313449724153446
5,0.003514775748707536,0.0003959469364363746,0.012656500664242022,0.011207536575807826,0.0015128927503205076,0.002003089325907495,0.011484085496399838,0.0045271676299585735,0.0022465494394132354,0.01604868749116972,0.011560254077086421,0.010238434264125315
6,0.015666735543297568,0.014504493052929468,0.008358737945557188,0.02222786371396766,0.014279873158787497,0.013347583837839143,0.0029808431921515065,0.0033367915604128177,0.01768202090872653,0.01738418941227995,0.0002676236252869661,0.015744099378731866
7,0.0018448108240355372,0.0049285573568763116,0.019051989171235236,0.004969048348971591,0.0035210616650182542,0.00759246628960177,0.0014361675067032596,0.07790689174545122,0.001760636795227219,0.027349423551489272,0.0013225443070424927,0.004984184850833939
8,0.009192293322934376,0.02002400495300379,0.004377118569233806,0.02222286134439446,0.013599264943178396,0.012373560097069409,0.008870231982480064,0.03298487006256036,0.01414290150661292,0.034287964354198605,0.008888979433457043,0.009243033971663591
9,0.03934017143729711,0.10081775673702095,0.05548466860957222,0.16667003765779684,0.0670575963302315,0.16590961952758468,0.033556648612940596,0.1766908134293482,0.08233901192431414,0.047807282590028956,0.0321418143411218,0.08398278822930594
10,0.0277217853479164,0.03104473637325226,0.03372013202585655,0.03964506974490731,0.030853170410741537,0.034711205979577615,0.010168894572961284,0.01613312510170426,0.03189794181990398,0.03279938908962177,0.002587021231901369,0.028579960680578966
11,0.030770717472332006,0.02547477286190888,0.033145185277233646,0.03860166490221406,0.028055147169420497,0.03280848560021643,0.01768009530501661,0.036293599947963634,0.03545796565566473,0.007706219224996043,0.017808481184669326,0.03346839519464142
12,0.00032382600305065975,0.00202586641498783,0.04571466180878226,0.00042166613589737523,0.005388126829511378,0.004157220618389674,0.011245039081033187,0.14692097545526916,0.0019285119997456152,0.056524859478366725,0.010894527353246723,0.0351433298665966
13,0.005324234867509658,8.057822274470298e-07,0.00847998472570188,0.01882448604338673,0.006756633510217348,0.015125240089590488,0.0006002364701378727,0.10429192045410673,0.0075685724206578636,0.006916671792375546,0.0008152653689585549,0.0038938233895430712
14,0.022637188229263566,0.015718002341692256,0.04056830908047052,0.022637188229263566,0.004751675525887705,0.004802323600108138,0.005801222767973722,0.21926737169371277,0.011928226214952965,0.041352252616410866,0.009951822572343005,0.034603871205838264
