,Number of Lanes,Number of Vehicles,Vehicles Density,Reward Speed Range,Scaling Factor,Algorithm,Average Reward,Reward Standard Deviation,Observation Variance,Action Variance,Number of Transitions Observed,Crash Rate,Average Collision Reward,Average Right Lane Reward,Average High Speed Reward,Average On Road Reward,Average Episode Length,Reward Sparsity,Transition Rewards Variance,Observation Type,Maximum Range (Lidar),Horizon (TimeToCollision),Initial Lane Id,Ego Spacing
24,4,50,1.0,0,5.5,2,0.7545042501613378,0.0834319809090556,7.521676942911723,0.006960895438409,3856,0.0023340248962655,0.0023340248962655,0.7958160442600275,0.1362719892806739,1.0,40,1.0,0.006960895438409,0,0,0,2,2.0
25,4,50,1.0,0,5.5,2,0.7668706983034483,0.0887653459927381,9.216558134353102,0.0078792866492105,3655,0.0041039671682626,0.0041039671682626,0.8303693570451436,0.1784326972973015,1.0,40,0.9991792065663476,0.0078792866492105,0,0,0,3,1.0
26,4,50,1.0,0,5.5,2,0.759587565660253,0.0915294230736124,9.213586033389408,0.0083776352881883,3611,0.0044309055663251,0.0044309055663251,0.6925136158035632,0.1864022311908702,1.0,40,0.9977845472168374,0.0083776352881883,0,0,0,3,0.5
27,4,50,1.5,0,5.5,2,0.70220501256039,0.1074254480180812,3.437137318026718,0.0115402268818854,2762,0.0199131064446053,0.0199131064446053,0.5473087134926381,0.0462243848398163,1.0,40,0.9931209268645907,0.0115402268818854,0,0,0,3,2.0
28,4,50,1.0,0,5.5,2,0.7539333453376525,0.0865103445964079,7.712638714159933,0.0074840397221892,3773,0.0031804929764113,0.0031804929764113,0.7245339694319287,0.1540677850992431,1.0,40,0.9997349589186324,0.0074840397221892,0,0,0,3,2.0
29,4,50,2.5,0,5.5,2,0.6378437175236449,0.2573901226882835,15.522815058709662,0.0662496752574896,676,0.1479289940828402,0.1479289940828402,0.5231755424063116,0.1309425403191908,1.0,29,0.9511834319526628,0.0662496752574896,0,0,0,3,2.0
30,4,50,2.0,0,5.5,2,0.6643262082281841,0.168667781109516,4.507178805147249,0.0284488203844076,1440,0.0659722222222222,0.0659722222222222,0.5527777777777778,0.0179593919668015,1.0,40,0.9902777777777778,0.0284488203844076,0,0,0,3,2.0
31,4,50,1.0,0,5.5,2,0.7708617917993071,0.0984488722865111,11.622767154646084,0.0096921804544857,3659,0.0043727794479365,0.0043727794479365,0.7372688348364762,0.2173464591581241,1.0,40,0.9986335064225198,0.0096921804544857,0,0,0,3,2.0
32,4,50,1.0,0,5.5,2,0.7619256184995791,0.0863981693507792,8.56974086769259,0.0074646436671659,3780,0.0029100529100529,0.0029100529100529,0.7193121693121693,0.1846681593205112,1.0,40,0.9992063492063492,0.0074646436671659,0,0,0,3,2.5
33,4,50,3.0,0,5.5,2,0.598076992258532,0.2916664751091032,18.258117370912508,0.0850693327025691,488,0.2028688524590164,0.2028688524590164,0.448087431693989,0.1379389941935383,1.0,40,0.9241803278688524,0.0850693327025691,0,0,0,3,2.0
34,5,50,1.0,0,5.5,2,0.7793569989640645,0.1060791055311365,11.694469500646486,0.011252776630286,3581,0.0053057805082379,0.0053057805082379,0.7337335939681653,0.2524197988937952,1.0,40,0.9997207483943032,0.011252776630286,0,0,0,3,2.0
35,6,50,1.0,0,5.5,2,0.7849196313859975,0.1249048940270969,14.857039507446787,0.0156012325519203,3284,0.0097442143727162,0.0097442143727162,0.6859926918392205,0.2963109806694762,1.0,40,0.9972594397076736,0.0156012325519203,0,0,0,3,2.0
36,7,50,1.0,0,5.5,2,0.7640755442323524,0.1323805332516914,14.09148824027896,0.0175246055840021,2803,0.0160542276132714,0.0160542276132714,0.5113568795338328,0.2775796400210418,1.0,40,0.9939350695683196,0.0175246055840021,0,0,0,3,2.0
37,8,50,1.0,0,5.5,2,0.7654125233972461,0.1016971225893299,8.24352688630474,0.0103423047429491,3255,0.0092165898617511,0.0092165898617511,0.6393680052666227,0.2334964360773948,1.0,40,0.9969278033794164,0.0103423047429491,0,0,0,3,2.0
38,4,50,1.0,0,5.5,2,0.7599187778799434,0.0843435526254134,8.344514247476228,0.0071138348694758,3767,0.0026546323334218,0.0026546323334218,0.8005486240155739,0.1561948418794488,1.0,40,0.9994690735333156,0.0071138348694758,0,0,0,3,2.0
39,4,50,1.0,1,5.5,2,0.7292149727793295,0.0203324693028759,0.5935195644432474,0.0004134093079523,3939,0.0007616146230007,0.0007616146230007,0.9458407379199458,0.0,1.0,40,1.0,0.0004134093079523,0,0,0,3,2.0
40,4,50,1.0,2,5.5,2,0.7262832510918271,0.0276283756876203,1.5527935817042533,0.0007633271431362,3918,0.0012761613067891,0.0012761613067891,0.9070103794452952,0.0,1.0,40,1.0,0.0007633271431362,0,0,0,3,2.0
41,4,50,1.0,3,5.5,2,0.7291652392371819,0.0286003246746989,1.2044332151544228,0.0008179785714981,3892,0.001284686536485,0.001284686536485,0.9503254539225762,0.0,1.0,40,0.999486125385406,0.0008179785714981,0,0,0,3,2.0
42,4,50,1.0,4,5.5,2,0.7244124206553442,0.0321185814899783,1.5235055250162386,0.0010316032769283,3886,0.0012866700977869,0.0012866700977869,0.8790530108080288,0.0,1.0,40,0.9987133299022132,0.0010316032769283,0,0,0,3,2.0
