instances,instance_hardness
1,0.07326573021015781
2,0.05950986941796521
3,0.0697192808183198
4,0.06703397422804636
5,0.057862344019878
6,0.06247471426542872
7,0.06383789820193786
8,0.06703048123621969
9,0.12645012024848634
10,0.07361662822500104
11,0.07869582612126558
12,0.07130933267370843
13,0.06400045790322417
14,0.07955535069360398
15,0.07311653256808781
16,0.07081293463519245
17,0.08063125155718032
18,0.07189419198704283
19,0.14597431846386022
20,0.07432910486221966
21,0.08197016972275173
22,0.07858065191165309
23,0.0874146441905167
24,0.06923128094307684
25,0.0615791417706667
26,0.06257820867718888
27,0.06297595518499133
28,0.08887708248390924
29,0.061872417740365115
30,0.07946039417446704
31,0.0825261577640427
32,0.06267423803870975
33,0.06113654100770016
34,0.10070666938779438
35,0.0689039102682718
36,0.06907644016483727
37,0.07429135057109615
38,0.08398448829592875
39,0.05988410595459637
40,0.059424769496652874
41,0.06557948332231922
42,0.06087321592335759
43,0.06233107450380648
