Row,z_1,z_2
1,0.6983026739311952,-1.5978181671837148
2,1.2908620223506797,-1.566156157765036
3,0.9112726418693063,-1.10862277809856
4,0.39860304860140594,-0.7420105641615128
5,1.8241692675782932,-0.5298935676685529
6,1.1039985828610352,-1.5830233611488296
7,1.5656802020210774,-1.7451787065849875
8,1.0868138990747187,0.06888870700466149
9,-1.2331154746557074,2.3949118993077545
10,-1.2160886101348667,1.2043383840267174
11,0.26650550497606706,0.14186155663636144
12,-0.14011197322462435,0.6314820114398499
13,-0.9904924012030795,-0.5022017022220506
14,0.3107930003017818,0.6705120165937827
15,-0.8914904168955298,0.07923799526063327
16,-0.7353183733311128,-0.8203052904509889
17,-1.8034777199422145,1.5247585844690452
18,-1.5557457123476124,1.9607103351116888
19,-2.473394263591346,1.9777886964110138
20,-0.8772066651550331,2.257169976467057
21,-0.4951654079848304,0.8744315180655479
22,-1.7177958934204376,0.9105658893051718
23,1.1492437024822348,-0.24854810478522102
24,1.3040444256163695,-0.18351206164395523
25,1.1837223670220045,-1.0539593041943844
26,1.0379276779205204,-1.4947658846154732
27,1.0137680575551031,-0.3586374292938239
28,-1.9998919882865462,0.2470204042247277
29,0.42468780261592665,-0.9381139242871596
30,-1.361634466374079,1.064814308480324
31,-1.5095994778407593,1.4180908197793336
32,0.6564030212381022,-0.02954899977211606
33,1.0881725993772546,-1.1049933650413075
34,-2.4500230600016635,1.7838322025299496
35,-0.26721772344362205,-0.11090461263735461
36,-0.8654525359577883,0.06705902166577392
37,0.7143222170998721,0.10522625986369477
38,1.2128900086800163,0.27548038115775125
39,1.6800306253982586,-1.6611145245676453
40,0.7781418398384555,0.12856849105077953
41,0.3383898514237722,-1.1845297787878573
42,0.46304080207959447,-0.974144964383895
43,0.08143632187780828,-0.24876620955720216
