instances,feature_S3,feature_EDS,feature_EZR,feature_POT,feature_L1,feature_C4,feature_TD_P,algo_ada_boost,algo_bagging,algo_bayesian_ard,algo_decision_tree,algo_extra_tree,algo_gradient_boosting,algo_kernel_ridge,algo_mlp,algo_passive_aggressive,algo_random_forest,algo_sgd,algo_svr_epsilon,algo_svr_linear,algo_svr_nu
33,0.018877108154060185,0.18171482000229566,0.018694219735907347,0,0.054812545977283245,1.0,0.8333333333333334,0.0010689325237225383,0.003314699121621625,0.009860915181921977,0.01084908602254509,0.004044221677222782,0.005206021659085813,0.9885390311929481,0.0030078183411632476,0.025823458041889576,0.0048683893266022295,0.12468594974439505,0.026045827152854178,0.006112193121779445,0.022805323310888255
34,0.9806961032384963,0.712118142022725,0.9658401703849331,1,0.055424545352893984,0.2222222222222222,0.5,0.053969067473267046,0.09002636731329203,0.013335953823599958,0.060081795572075915,0.017281643131704823,0.1262577239030565,0.9971001407770138,0.014919360016702073,0.13025721665493759,0.1452394966013347,0.08483593527480612,0.05155214514078151,0.015234429723224379,0.10846764060773574
35,0.042223152727319135,0.5704142106041246,0.11373892714144329,0,0.19153829572516334,1.0,1.0,0.023048188588736807,0.011265072054929041,0.023884871347713076,0.0075492785112898685,0.006808751804835356,0.01103494861071057,1.0025810739413827,0.018221084343214917,0.05057187386068277,0.013082451838682566,0.13849717181114535,0.030496628266146332,0.0071095706691693,0.02225681579197282
36,0.07059940793808084,0.6814908692839323,0.1578828877579852,0,0.24642878609355745,1.0,1.0,0.02857109096921472,0.020998173540658586,0.03716759560077899,0.01908277005516917,0.011853161423615184,0.02546451613879795,1.0057751048428274,0.020301708622344494,0.12370666432816203,0.022048715856930544,0.15173318183632825,0.030592126956026946,0.020155166957921928,0.012669059290149096
37,0.01616689442432373,0.2258547990052846,0.02631018960266085,0,0.05615123669672539,1.0,0.8333333333333334,0.031793029699703206,0.021986704892116564,0.0011507654519492606,0.028486433443600027,0.00828995209367692,0.018318971398240385,0.994969875762458,0.0072138945886054,0.0738223285925231,0.02688379020763572,0.13481045804590852,0.0022937659383810123,0.0021424533688711718,0.010869890729796067
38,0.010374908391821092,0.2546405461330795,0.03167260087658319,0,0.07974474540869181,1.0,0.8333333333333334,0.008951193735344446,0.016234543807624367,0.0018917981210560947,0.026659259736472023,0.01987316846449448,0.004271794730105769,0.9966991297414481,0.007686177779849597,0.06245709605168007,0.015834491378889756,0.13681126635014035,0.0003463334727599201,0.00385881515902532,0.009350248341886714
39,0.009892041231505555,0.14348519797124726,0.012728655356578189,0,0.05981449728099508,1.0,0.8333333333333334,0.0037617653555771075,0.002753165587098989,0.002042276747953033,0.00812490654633754,0.0005485325856064837,0.001554918084344704,0.9753373631518208,0.010288070815617304,0.04937280391097036,0.0019529714827379563,0.11953827381819954,0.020043962528647128,0.012755286403294427,0.004157076841738319
40,0.00016962500346406895,0.1736559077134926,0.06386990345896137,0,0.200609376276769,0.5555555555555556,0.6666666666666666,0.023586144002593852,0.009131251355709864,0.045145130230002106,0.03663520379261558,0.004543651276074964,0.014661092506334147,0.9665390427913225,0.01907827900252605,0.1428008605463713,0.009979607429772407,0.09941995213505231,0.0002705875035893475,0.01011880484333702,0.0018247514162675676
41,0.06605367305167098,0.2337747647355517,0.0818609749290814,0,0.07669588421953333,0.8888888888888888,0.8333333333333334,0.00411706702780492,0.0019345939119281988,0.01255640429107087,0.004188113928841496,0.004293548834783196,0.006016537508558455,1.0555606106766913,0.002923337638313347,0.08956863298861455,0.004166478542263203,0.11492965369233751,0.0045510871191639475,0.00483356319988474,0.002626689188895481
42,0.09530465426215051,0.1746275776741414,0.06415853500402913,0,0.20422687186041355,0.5555555555555556,0.8333333333333334,0.012877241078250758,0.011283055173927008,0.022999347346547128,0.003909010682619976,0.006205206552886844,0.00675402934199547,0.9998667953367134,0.013475574120210216,0.11549570886674194,0.009177064808467469,0.12915799718436696,0.01955281543419007,0.034222957910149336,0.006665303561430724
43,0.049650923483177234,0.27461369502453004,0.09434353296691755,0,0.29668591733283467,0.8888888888888888,0.8333333333333334,0.004988462566093359,0.0018958485521423602,0.02292432283108947,0.00678964370619013,0.0024268672410921862,0.009137994600984892,1.0959198011026514,0.042203160199652555,0.08070754148951531,0.004494420613434906,0.1474835891416279,0.02775684329877996,0.045238372050190226,0.008316965922859612
