,Principal Component 1,Principal Component 2,Principal Component 3,Principal Component 4,Principal Component 5,Principal Component 6,Principal Component 7,Average Reward
0,-1.7086433165346604,0.18897886175394246,0.3279746057341407,-0.31609324386519266,-1.5036186463719765,2.103190723762859,0.17816130726445192,0.7547291471570525
1,-0.7900611305727299,1.0721832611801931,-0.02916792936451223,0.43236369044293654,-0.39050354312885355,-0.06724006201590968,-0.6644268365210503,0.7650531451860653
2,-0.907027117496575,1.4893072013587494,-0.016045151387971662,0.5129524826636673,-0.1800794792992202,-0.16122581856060256,0.2212079072440794,0.760915982116571
3,-0.6939449049320221,0.5273294439556707,-0.12836691002209671,0.43507261651187595,-0.5170098006908944,-0.1162155581314525,-1.9415812334176499,0.7668732903885994
4,-0.9298573622533787,1.3014000305080076,0.1888087066162872,0.1725499335428906,-0.7867154647902705,0.5353265397041679,-0.007052259071656522,0.7626610154674323
5,-1.0108570492885856,0.5066688700025785,-0.1874874722338048,0.4926181912146012,-0.3511469332275321,-0.0045091189851603946,-1.3561697380296345,0.7503774802933108
6,-1.5479428362729248,0.6311809471243559,0.22724325219192373,-0.07353415292419388,-1.1539889049753416,1.4355393682850393,0.12994577457274814,0.758999607372499
7,-1.0093095583713128,0.7585439505587662,-0.12384989349475752,0.46775847898284656,-0.36945510263392706,-0.011845493131477397,-0.9986216494304161,0.7667522383364246
8,0.9953155038387795,0.712293733760232,0.7699046691052451,-0.31955572724936837,-0.9236682154554683,-0.9747582887172519,1.5940210223288174,0.7871082072004073
9,-1.9477924055785893,-3.2533843154527275,1.5536991481712499,-0.64560849218268,0.2058504492143999,1.2891869966621519,-0.6157699994926402,0.6970542132857684
10,-0.9924607584939115,-4.837293402804302,-0.06690054512522316,-0.7177795079949008,-1.00701567538671,-0.3447142005228469,-0.08738032590412395,0.7252998154981551
11,1.731989967662685,-3.9848823643698488,-1.1408611734283112,-0.12285352521194116,-0.20877584811157976,-0.1388692098092008,-0.10601589586187939,0.6806939648084198
12,-0.9497240951294876,-1.292329158615413,2.1028713649237627,-0.24031485522425186,1.2985919736249205,-0.13001084527146678,0.21182826884779968,0.7124125618286651
13,1.7263985536116122,-2.0999383984669135,2.7405828869112576,-0.990869015518043,0.9185151643699939,-0.11401251103147436,0.7210230392017195,0.6810025062656643
14,-1.5241323549302288,-2.490359846220131,-0.5461313898883529,0.970588466244439,1.8780718496801736,0.5171639551114263,-1.0079388694757392,0.7064392547887695
15,0.09088770621064028,-3.2269633580489154,1.3459193331399224,-0.9335318056870868,-0.2850563812895245,-1.0355401176395047,0.8688173822405817,0.6946503221750747
16,-0.7135213973904305,-2.4739538663834235,0.42713368269498103,-0.4169727945446637,-0.42424388598117724,1.5043034837725253,-0.22310981948931247,0.6935430188051258
17,-1.0353389593928002,-2.20300606676728,-1.3194921231075247,0.3576271127491432,-0.6593550110536527,-0.46318614225919047,-0.6447790261667018,0.7048593494560009
18,8.335623715996269,-2.5073256621642304,-1.1089203309253974,-0.5629138783085459,-1.0273174104888958,1.212814283958447,0.34726830176624335,0.553806146572104
19,2.264952938506213,-2.4138490202906917,-1.2686177186997074,0.009501309892662384,-0.7406509691998432,-1.4079341091983488,0.9402790479429927,0.6596432785064891
